Duration (in seconds),Exlcude_Speed,Finished,clarity_ai_mw_01_1 ,clarity_ai_mw_02_1,clarity_ai_mw_03_1,clarity_ai_mw_04_1,clarity_ai_mw_05_1,clarity_ai_wd_01_1,clarity_ai_wd_02_1,clarity_ai_wd_03_1,clarity_ai_wd_04_1,clarity_ai_wd_05_1,clarity_ai_yd_01_1,clarity_ai_yd_02_1,clarity_ai_yd_03_1,clarity_ai_yd_04_1,clarity_ai_yd_05_1,AVERAGECLARITYAI,clarity_hum_mw_01_1,clarity_hum_mw_02_1,clarity_hum_mw_03_1,clarity_hum_mw_04_1,clarity_hum_mw_05_1,clarity_hum_wd_01_1,clarity_hum_wd_02_1,clarity_hum_wd_03_1,clarity_hum_wd_04_1,clarity_hum_wd_05_1,clarity_hum_yd_01_1,clarity_hum_yd_02_1,clarity_hum_yd_03_1,clarity_hum_yd_04_1,clarity_hum_yd_05_1,AVERAGECLARITYHUMAN,quality_ai_mw_01_1,quality_ai_mw_02_1,quality_ai_mw_03_1,quality_ai_mw_04_1,quality_ai_mw_05_1,quality_ai_wd_01_1,quality_ai_wd_02_1,quality_ai_wd_03_1,quality_ai_wd_04_1,quality_ai_wd_05_1,quality_ai_yd_01_1,quality_ai_yd_02_1,quality_ai_yd_03_1,quality_ai_yd_04_1,quality_ai_yd_05_1,AVERAGEQUALITY_AI,quality_hum_mw_01_1,quality_hum_mw_02_1,quality_hum_mw_03_1,quality_hum_mw_04_1,quality_hum_mw_05_1,quality_hum_wd_01_1,quality_hum_wd_02_1,quality_hum_wd_03_1,quality_hum_wd_04_1,quality_hum_wd_05_1,quality_hum_yd_01_1,quality_hum_yd_02_1,quality_hum_yd_03_1,quality_hum_yd_04_1,quality_hum_yd_05_1,AVERAGEQUALITY_HUM,Fatalism_1,Fatalism_2,Fatalism_3,Fatalism_4,Fatalism_5,Fatalism_6,Fatalism_7,Fatalism_8,Fatalism_9,Fatalism_10,Fatalism_11,Fatalism_12,Fatalism_13,Fatalism_14,Fatalism_15,Fatalism_16,Fatalism_17,Fatalism_18,Fatalism_19,age,gender_1man_2woman,english_first_language_0no_1yes,language_other,time_in_uae(1alllife|2=0-3yrs|3=4-7yrs|9morethan8years),nationality,work,car_driving,religion,marital,education_years,income
472,1,1,5,4,4,3,4,4,4,4,4,5,4,4,4,5,4,4.13,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4.73,5,5,4,5,5,5,5,5,4,5,4,4,4,4,4,4.53,4,4,5,4,5,5,5,4,5,5,4,4,4,5,4,4.47,5,5,5,5,5,4,4,3,2,2,5,4,4,5,5,3,3,2,5,23,2,0,arabic,1,uae,job,1,muslim,single,4,125000
413,1,1,4,3,3,1,3,5,4,3,2,2,2,1,3,3,3,2.8,3,3,3,3,5,5,3,1,5,3,3,5,1,3,3,3.27,4,3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,5,5,3,2,3,5,1,3,3,3,5,3,3,4,4,3.47,5,5,5,5,5,5,3,3,3,4,3,3,3,5,4,1,3,5,2,,2,0,arabic,1,uae,student,4,muslim,single,1,65000
669,1,1,4,3,5,1,4,3,4,3,3,2,1,3,1,1,2,2.67,4,5,3,3,5,4,3,5,4,5,3,3,4,3,3,3.80,2,2,3,2,4,3,2,3,3,3,4,3,3,3,3,2.87,3,5,2,4,3,3,3,4,3,2,3,2,4,3,5,3.27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,1,1,english,2,saudi,,6,muslim,single,3,30000
811,1,1,4,3,3,4,4,3,4,2,3,4,3,4,2,4,4,3.4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3.93,4,3,4,4,4,3,2,3,2,2,2,3,2,4,4,3.07,4,3,4,4,4,4,2,4,2,4,4,2,2,2,4,3.27,5,5,5,5,5,4,2,2,2,3,3,5,3,4,4,3,4,4,5,20,2,0,,1,egyptian ,student,none,muslim,single,2,20000
763,1,1,4,1,3,4,2,4,2,4,2,5,2,2,3,3,2,2.87,5,5,4,4,5,4,5,4,5,5,5,2,3,4,5,4.33,4,2,4,2,4,4,2,2,4,2,2,2,1,3,2,2.67,5,3,4,4,3,3,3,2,4,4,4,3,4,3,5,3.6,3,3,4,3,3,3,3,3,3,3,4,4,3,4,4,3,3,4,2,20,2,0,arabic,1,jordanian ,student,none,muslim,single,1,65000
972,1,1,5,4,5,5,2,5,5,5,4,3,5,5,4,5,5,4.47,5,5,4,4,5,5,3,3,5,5,5,4,5,2,5,4.33,5,5,5,4,5,3,5,5,2,3,4,5,5,5,4,4.33,5,1,4,4,5,1,1,2,5,5,4,2,4,5,3,3.4,5,5,5,5,5,5,2,4,3,4,5,5,4,4,3,4,3,4,3,23,2,0,arabic,1,uae,job,6,muslim,single,4,150000
1090,1,1,5,4,4,5,5,2,5,3,4,3,5,5,2,4,4,4,5,5,4,5,5,5,4,3,5,5,5,5,5,2,5,4.53,5,4,4,4,4,4,4,3,3,4,3,3,3,5,3,3.73,5,2,3,4,5,4,2,2,5,5,3,5,4,2,5,3.73,5,5,5,5,5,5,1,3,3,3,5,5,4,5,4,5,5,3,5,22,2,0,arabic,1,yemen,student,4.5,muslim,single,3,30000
860,1,1,3,3,5,4,5,4,3,4,5,4,4,5,4,4,4,4.07,5,5,5,5,4,5,5,4,5,5,5,4,5,2,4,4.53,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.93,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.93,5,5,4,5,5,5,4,2,2,3,5,4,4,5,5,2,5,4,5,19,2,0,arabic,9,syrian,student,none,muslim,single,1,30000
966,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4.93,5,5,5,5,5,5,5,4,5,5,5,4,3,4,5,4.67,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4.87,5,5,5,5,4,5,5,5,5,5,5,5,3,4,5,4.73,4,4,4,4,4,4,3,4,4,4,4,5,4,4,5,4,5,4,4,20,2,0,arabic,1,palestinian,student,2,muslim,single,1,30000
761,1,1,5,4,5,4,5,5,4,4,5,5,5,5,4,5,5,4.67,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4.80,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.93,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,4.8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,2,0,arabic,1,egyptian ,student,none,muslim,single,2,65000
